uke,produktgruppe,kanal,antall,omsetning_nok,varekost_nok
36,Belysning,Nettbutikk,80,80000,48000
36,Belysning,Bedriftssalg,40,40000,24000
36,Skrivebord,Nettbutikk,20,60000,42000
36,Skrivebord,Bedriftssalg,40,120000,84000
36,Oppbevaring,Nettbutikk,20,40000,26000
36,Oppbevaring,Bedriftssalg,10,20000,13000
37,Belysning,Nettbutikk,100,100000,60000
37,Belysning,Bedriftssalg,50,50000,30000
37,Skrivebord,Nettbutikk,14,42000,30240
37,Skrivebord,Bedriftssalg,28,84000,60480
37,Oppbevaring,Nettbutikk,28,56000,36400
37,Oppbevaring,Bedriftssalg,14,28000,18200
